,Coefficient,P-value,Std_Error
const,0.0417742180096075,0.05547817057148483,0.020542293267926087
Housing_Inflation,0.005651118324620623,0.24405966000808602,0.004708211727637663
Overall_Inflation,-0.02023360272621256,0.06116363779628203,0.010198951734974404
